doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dienmayxanh-buyer-warranty-policy,data/chinh-sach-bao-hanh/dienmayxanh-buyer-warranty-policy.md,Chính sách bảo hành Điện Máy Xanh cho người mua,https://www.dienmayxanh.com/chinh-sach-bao-hanh-san-pham,2026-09-20,not-stated,public-source
fptshop-buyer-warranty-policy,data/chinh-sach-bao-hanh/fptshop-buyer-warranty-policy.md,Chính sách bảo hành FPT Shop cho người mua,https://fptshop.com.vn/ho-tro/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
fptshop-seller-warranty-policy,data/chinh-sach-bao-hanh/fptshop-seller-warranty-policy.md,Chính sách bảo hành và xử lý khiếu nại cho người bán FPT Shop,https://fptshop.com.vn/ho-tro/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
shopee-buyer-warranty-policy,data/chinh-sach-bao-hanh/shopee-buyer-warranty-policy.md,Chính sách bảo hành Shopee cho người mua,https://help.shopee.vn/portal/4/article/79046-[Quy-%c4%91%e1%bb%8bnh]-Ch%c3%adnh-s%c3%a1ch-b%e1%ba%a3o-h%c3%a0nh-cho-s%e1%ba%a3n-ph%e1%ba%a9m-mua-t%e1%ba%a1i-Shopee,2026-09-20,not-stated,public-source
shopee-seller-warranty-policy,data/chinh-sach-bao-hanh/shopee-seller-warranty-policy.md,Chính sách bảo hành Shopee cho người bán,https://help.shopee.vn/portal/4/article/79233-[Quy-%c4%91%e1%bb%8bnh]-Ch%c3%adnh-s%c3%a1ch-b%e1%ba%a3o-h%c3%a0nh-cho-s%e1%ba%a3n-ph%e1%ba%a9m-b%e1%ba%a3o-h%c3%a0nh-t%e1%ba%a1i-Shopee,2026-09-20,not-stated,public-source
thegioididong-buyer-warranty-policy,data/chinh-sach-bao-hanh/thegioididong-buyer-warranty-policy.md,Chính sách bảo hành Thế Giới Di Động cho người mua,https://www.thegioididong.com/chinh-sach-bao-hanh-san-pham,2026-09-20,not-stated,public-source
tiktok-buyer-warranty-policy,data/chinh-sach-bao-hanh/tiktok-buyer-warranty-policy.md,Chính sách bảo hành TikTok Shop cho người mua,https://seller-vn.tiktok.com/university/essay?course_type=1&from=search&identity=1&knowledge_id=1766935302801169&role=1,2026-09-20,not-stated,public-source
tiktok-seller-warranty-policy,data/chinh-sach-bao-hanh/tiktok-seller-warranty-policy.md,Chính sách bảo hành TikTok Shop cho người bán,https://seller-vn.tiktok.com/university/essay?knowledge_id=7997606615877377&lang=vi-VN,2026-09-20,not-stated,public-source
