doc_id,file_path,title,platform,audience,category,source_url,retrieved_at,document_version,license_or_permission
return-refund-policy,data/ecommerce/return-refund-policy.md,Chính sách đổi trả/hoàn tiền TikTok Shop dành cho người bán,tiktok_shop,seller,return_refund,https://seller.tiktok.com/official/portal/document/return-refund-policy,2026-09-20,not-stated,public-source
tiktok-shop-return-refund-seller,data/ecommerce/tiktok-shop-return-refund-seller.md,Chính sách trả hàng/hoàn tiền cho người bán trên TikTok Shop,tiktok_shop,seller,return_refund,https://seller.tiktok.com/official/portal/document/return-refund-policy,2026-09-20,not-stated,public-source
tiktok-shop-refund-proposal-seller,data/ecommerce/tiktok-shop-refund-proposal-seller.md,Đề xuất hoàn tiền cho người bán trên TikTok Shop,tiktok_shop,seller,return_refund,https://seller.tiktok.com/official/portal/document/refund-proposal,2026-09-20,not-stated,public-source
seller-warranty-policy,data/ecommerce/seller-warranty-policy.md,Chính sách bảo hành và trách nhiệm người bán trên Shopee,shopee,both,warranty,https://help.shopee.vn/portal/article/102?category=12,2026-09-20,not-stated,public-source
shopee-warranty-policy-both,data/ecommerce/shopee-warranty-policy-both.md,Chính sách bảo hành và trách nhiệm người bán trên Shopee,shopee,both,warranty,https://help.shopee.vn/portal/article/102?category=12,2026-09-20,not-stated,public-source
shopee-return-refund-guide-buyer,data/ecommerce/shopee-return-refund-guide-buyer.md,Hướng dẫn trả hàng/hoàn tiền cho người mua trên Shopee,shopee,buyer,return_refund,https://help.shopee.vn/portal/article/10?category=8,2026-09-20,not-stated,public-source
